fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name,orig_weather_categ,dest_weather_categ
2018-06-11,WN,WN,WN,2125,WN,N780SW,2125,11259,DAL,"Dallas, TX",13891,ONT,"Ontario, CA",1655,1750.0,55.0,14.0,1804.0,1841.0,3.0,1755,1844.0,49.0,0.0,,0.0,N,180.0,174.0,157.0,1.0,1200.0,1.0,0.0,0.0,0.0,48.0,,,,,cloudy,sunny
2019-10-13,AA,AA,AA,1101,AA,N956AN,1101,15304,TPA,"Tampa, FL",13930,ORD,"Chicago, IL",1632,1625.0,-7.0,22.0,1647.0,1834.0,18.0,1836,1852.0,16.0,0.0,,0.0,N,184.0,207.0,167.0,1.0,1011.0,0.0,0.0,16.0,0.0,0.0,,,,,sunny,cloudy
2018-03-31,AS,AS,AS,840,AS,N581AS,840,13830,OGG,"Kahului, HI",13796,OAK,"Oakland, CA",1615,1614.0,-1.0,19.0,1633.0,22.0,8.0,14,30.0,16.0,0.0,,0.0,N,299.0,316.0,289.0,1.0,2349.0,0.0,0.0,16.0,0.0,0.0,,,,,no weather data,cloudy
2018-03-17,AA,AA_CODESHARE,AA,5296,OH,N550NN,5296,12264,IAD,"Washington, DC",11057,CLT,"Charlotte, NC",1340,1334.0,-6.0,14.0,1348.0,1443.0,9.0,1507,1452.0,-15.0,0.0,,0.0,N,87.0,78.0,55.0,1.0,322.0,,,,,,,,,,sunny,sunny
2018-09-10,AA,AA_CODESHARE,AA,4069,MQ,N240NN,4069,11298,DFW,"Dallas/Fort Worth, TX",15249,TLH,"Tallahassee, FL",1305,1301.0,-4.0,15.0,1316.0,1555.0,4.0,1612,1559.0,-13.0,0.0,,0.0,N,127.0,118.0,99.0,1.0,767.0,,,,,,,,,,cloudy,rain
2019-06-24,AA,AA,AA,1242,AA,N539UW,1242,11298,DFW,"Dallas/Fort Worth, TX",13204,MCO,"Orlando, FL",1504,1550.0,46.0,13.0,1603.0,1915.0,7.0,1847,1922.0,35.0,0.0,,0.0,N,163.0,152.0,132.0,1.0,985.0,35.0,0.0,0.0,0.0,0.0,,,,,rain,sunny
2018-06-10,DL,DL_CODESHARE,DL,5265,9E,N314PQ,5265,14027,PBI,"West Palm Beach/Palm Beach, FL",12478,JFK,"New York, NY",1957,2000.0,3.0,15.0,2015.0,2238.0,5.0,2259,2243.0,-16.0,0.0,,0.0,N,182.0,163.0,143.0,1.0,1028.0,,,,,,,,,,rain,rain
2019-12-31,G4,G4,G4,1796,G4,243NV,1796,11697,FLL,"Fort Lauderdale, FL",12544,USA,"Concord, NC",1429,1457.0,28.0,20.0,1517.0,1655.0,5.0,1628,1700.0,32.0,0.0,,0.0,N,119.0,123.0,98.0,1.0,643.0,28.0,0.0,4.0,0.0,0.0,,,,,cloudy,sunny
2018-07-04,AA,AA,AA,1697,AA,N745VJ,1697,11057,CLT,"Charlotte, NC",13230,MDT,"Harrisburg, PA",2209,2159.0,-10.0,19.0,2218.0,2321.0,4.0,2335,2325.0,-10.0,0.0,,0.0,N,86.0,86.0,63.0,1.0,413.0,,,,,,,,,,rain,rain
2019-06-01,NK,NK,NK,235,NK,N682NK,235,10158,ACY,"Atlantic City, NJ",11697,FLL,"Fort Lauderdale, FL",1248,1242.0,-6.0,15.0,1257.0,1508.0,13.0,1525,1521.0,-4.0,0.0,,0.0,N,157.0,159.0,131.0,1.0,977.0,,,,,,,,,,sunny,sunny
2018-06-08,WN,WN,WN,429,WN,N8709Q,429,12889,LAS,"Las Vegas, NV",10792,BUF,"Buffalo, NY",915,952.0,37.0,11.0,1003.0,1654.0,4.0,1630,1658.0,28.0,0.0,,0.0,N,255.0,246.0,231.0,1.0,1986.0,0.0,0.0,0.0,0.0,28.0,,,,,sunny,sunny
2018-07-15,AA,AA_CODESHARE,AA,4906,PT,N624AE,4906,11057,CLT,"Charlotte, NC",10990,CHO,"Charlottesville, VA",940,941.0,1.0,29.0,1010.0,1057.0,18.0,1056,1115.0,19.0,0.0,,0.0,N,76.0,94.0,47.0,1.0,245.0,1.0,0.0,18.0,0.0,0.0,,,,,cloudy,cloudy
2018-11-06,AA,AA_CODESHARE,AA,6011,CP,N200NN,6011,12892,LAX,"Los Angeles, CA",14831,SJC,"San Jose, CA",705,700.0,-5.0,25.0,725.0,816.0,4.0,823,820.0,-3.0,0.0,,0.0,N,78.0,80.0,51.0,1.0,308.0,,,,,,,,,,sunny,sunny
2019-06-12,AA,AA_CODESHARE,AA,3537,MQ,N813AE,3537,11298,DFW,"Dallas/Fort Worth, TX",11067,CMI,"Champaign/Urbana, IL",1320,1314.0,-6.0,20.0,1334.0,1516.0,13.0,1525,1529.0,4.0,0.0,,0.0,N,125.0,135.0,102.0,1.0,692.0,,,,,,,,,,sunny,rain
