fl_date,city,count,weather_categ
2018-11-12,"Atlanta, GA",3,rain
2019-11-09,"Chicago, IL",3,cloudy
2019-05-05,"Newark, NJ",3,rain
2019-03-22,"Washington, DC",3,rain
2018-03-13,"Atlanta, GA",3,sunny
2019-01-09,"Washington, DC",3,cloudy
2019-03-23,"Chicago, IL",3,sunny
2018-06-05,"Las Vegas, NV",3,sunny
2019-09-05,"Atlanta, GA",3,sunny
2018-11-17,"Houston, TX",3,cloudy
2018-03-26,"Los Angeles, CA",3,sunny
2019-11-01,"Dallas/Fort Worth, TX",3,sunny
2018-03-23,"New York, NY",3,cloudy
2019-09-11,"Newark, NJ",3,sunny
2019-11-01,"Atlanta, GA",3,sunny
2019-09-12,"New York, NY",3,rain
2019-01-02,"Atlanta, GA",3,rain
2018-11-23,"Boston, MA",3,sunny
2019-04-27,"Dallas/Fort Worth, TX",3,sunny
2019-09-13,"Atlanta, GA",3,sunny
2019-04-27,"Chicago, IL",3,snow & rain
2019-09-13,"Chicago, IL",3,rain
2019-03-30,"Dallas/Fort Worth, TX",3,cloudy
2018-05-25,"Phoenix, AZ",3,sunny
2019-01-01,"Charlotte, NC",3,cloudy
